dataset,model_name,model_family,f1_mean,f1_std,ece_mean,risk_flags
nola_pooled_pairwise,torch_mlp,tabular,0.40518201296899004,0.04749294236482505,0.2015402146608315,"ece_high,seed_variance_high,f1_low"
nola_pooled_pairwise,cnn_weighted,regional_raster_cnn,0.44563420015394134,0.0611341707078008,0.11064500087527351,"ece_high,seed_variance_high,f1_low"
houston_pooled_pairwise,cnn_focal,regional_raster_cnn,0.8088030833748298,0.032801170394491146,0.22046056249999998,"ece_high,seed_variance_high"
nola_pooled_pairwise,cnn_focal,regional_raster_cnn,0.42636699315442655,0.01289196195633752,0.19131588577680528,"ece_high,f1_low"
houston_pooled_pairwise,torch_mlp,tabular,0.7302238102065888,0.040984701146504314,0.1902213570754717,"ece_high,seed_variance_high"
houston_pooled_pairwise,rule_score,tabular,0.41379310344827586,0.0,0.17181186792452835,"ece_high,f1_low"
houston_pooled_pairwise,cnn_weighted_temp,regional_raster_cnn,0.8195196010881554,0.032895745677278,0.161975529009434,"ece_high,seed_variance_high"
nola_pooled_pairwise,rule_score,tabular,0.44549763033175355,0.0,0.14123825237053245,"ece_high,f1_low"
seattle_pooled_pairwise,cnn_weighted_temp,regional_raster_cnn,0.7945632931910722,0.02020986338956051,0.32235396674584327,ece_high
seattle_pooled_pairwise,cnn_focal,regional_raster_cnn,0.8044761821278392,0.02403088000569699,0.30573434465558197,ece_high
seattle_pooled_pairwise,cnn_weighted,regional_raster_cnn,0.8078384509772634,0.008812496289250652,0.3054046325415677,ece_high
seattle_pooled_pairwise,cnn_focal_temp,regional_raster_cnn,0.8060079729561523,0.020553783178358966,0.2475064771971497,ece_high
houston_pooled_pairwise,cnn_weighted,regional_raster_cnn,0.8196568438330925,0.027420246242923815,0.16743893820754718,ece_high
seattle_pooled_pairwise,rule_score,tabular,0.5714285714285714,0.0,0.15213149643705468,ece_high
seattle_pooled_pairwise,torch_mlp,tabular,0.7662326235330543,0.014927097587485947,0.14298946389548692,ece_high
houston_pooled_pairwise,cnn_focal_temp,regional_raster_cnn,0.8116636538652064,0.024917119271153865,0.11882935117924529,ece_high
nola_pooled_pairwise,cnn_weighted_temp,regional_raster_cnn,0.4300142792432553,0.018303763628346226,0.09617235959153903,f1_low
nola_pooled_pairwise,cnn_focal_temp,regional_raster_cnn,0.42711858581202866,0.011443338309557394,0.0914530922684172,f1_low
nola_pooled_pairwise,logreg,tabular,0.4247787610619469,0.0,0.05305778264040847,f1_low
