source_region,model_name,pair_count,completed_pair_count,negative_pair_count,mean_delta_f1_fixed_threshold,min_delta_f1_fixed_threshold,max_target_ece,max_target_ece_gate,all_targets_ece_pass,max_negative_pairs_allowed,negative_pair_gate_pass,combined_pass
houston,extra_trees,2,2,2,-0.17543843975306217,-0.21792890262751163,0.08873939055222888,0.1,True,1,False,False
houston,hgbt,2,2,2,-0.17430296240975857,-0.2102564102564103,0.042790174983366555,0.1,True,1,False,False
houston,logreg,2,2,2,-0.23091613038246223,-0.26086956521739135,0.21445256353958775,0.1,False,1,False,False
houston,random_forest,2,2,2,-0.20494070359758038,-0.27793696275071633,0.07205002062541589,0.1,True,1,False,False
houston,rule_score,2,2,0,0.5435893596481296,0.47144340602284524,0.13985745043246828,0.1,False,1,True,False
houston,torch_mlp,2,2,2,-0.17629317544869055,-0.17940199335548168,0.23023813107119093,0.1,False,1,False,False
nola,extra_trees,2,2,0,0.43491725305532014,0.3757103273376227,0.053422958749168366,0.1,True,1,True,True
nola,hgbt,2,2,0,0.3826065809076129,0.3213420316868593,0.025994751164338088,0.1,True,1,True,True
nola,logreg,2,2,0,0.40353040919984196,0.2534500857720767,0.07997489011494253,0.1,True,1,True,True
nola,random_forest,2,2,0,0.3856019151846785,0.3226744186046512,0.03800415862068969,0.1,True,1,True,True
nola,rule_score,2,2,0,0.14662459466714983,0.08419167039856695,0.16764166620689683,0.1,False,1,True,False
nola,torch_mlp,2,2,0,0.3498886142390675,0.3030303030303031,0.18126322554890226,0.1,False,1,True,False
seattle,extra_trees,2,2,0,0.025459991442019603,0.0021394950791612244,0.03315403908045973,0.1,True,1,True,True
seattle,hgbt,2,2,1,0.028627400406541603,-0.004004004004003914,0.020579042186972672,0.1,True,1,True,True
seattle,logreg,2,2,2,-0.08908298326283942,-0.09421815030333047,0.04254361626729666,0.1,True,1,False,False
seattle,random_forest,2,2,0,0.04169959941598761,0.007526042861731863,0.022040712183908073,0.1,True,1,True,True
seattle,rule_score,2,2,0,0.13681829298116896,0.056321839080459735,0.16764166620689683,0.1,False,1,True,False
seattle,torch_mlp,2,2,2,-0.15610060804388037,-0.21914829356689824,0.16160346540668238,0.1,False,1,False,False
